i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
71,99375105178,0.18588,0.69331,-9.74412,-0.00024,0.00612,-0.00017,38.57
72,99375980189,0.07139,0.52571,-9.63892,0.00402,0.00186,0.00409,38.57
73,99376855200,-0.22915,0.26233,-9.56719,0.00509,0.00505,0.00196,38.57
74,99377730211,-0.28640,0.12824,-9.58154,0.00296,0.00505,-0.00550,38.56
75,99378605222,-0.15282,0.24317,-9.63892,0.00189,0.00505,-0.00869,38.57
76,99379480233,0.09047,0.56881,-9.71543,-0.00130,0.00292,-0.00550,38.56
77,99380355244,0.20019,0.62148,-9.71065,0.00083,-0.00027,0.00196,38.56
78,99381230255,-0.07649,0.38204,-9.64370,0.00722,-0.00134,0.00303,38.56
79,99382105266,-0.31979,0.19528,-9.61501,0.00402,-0.00027,-0.00017,38.56
80,99382980080,-0.26254,0.17613,-9.61979,0.00083,-0.00134,-0.00337,38.56
81,99383854892,-0.07172,0.41557,-9.70587,-0.00557,0.00186,-0.00443,38.56
82,99384729704,0.14772,0.66937,-9.78716,-0.00024,-0.00134,-0.00123,38.56
83,99385604516,0.07616,0.58317,-9.72977,0.00615,-0.00453,0.00303,38.56
84,99386479328,-0.23392,0.31500,-9.64848,0.00615,-0.00134,0.00090,38.55
85,99387354140,-0.33887,0.15697,-9.60545,-0.00024,0.00079,-0.00123,38.55
86,99388228952,-0.21961,0.21444,-9.61979,-0.00237,0.00186,-0.00337,38.55
87,99389103764,0.00937,0.52092,-9.71065,-0.00024,0.00292,-0.00123,38.55
88,99389978576,0.18588,0.64064,-9.73456,0.00828,-0.00240,0.00090,38.56
89,99390853388,-0.01448,0.42993,-9.66761,0.01148,-0.00666,0.00409,38.55
90,99391728630,-0.30071,0.19049,-9.64370,0.00935,-0.00027,0.00090,38.55
91,99392603866,-0.29117,0.10430,-9.64370,0.00828,0.00292,-0.00656,38.55
92,99393479102,-0.10512,0.29106,-9.67239,0.00083,0.00719,-0.00976,38.55
93,99394354338,0.13341,0.60712,-9.72021,-0.00237,0.00825,-0.00550,38.55
94,99395229574,0.11910,0.59754,-9.69630,-0.00130,0.00186,0.00090,38.55
95,99396104810,-0.17190,0.34373,-9.64370,-0.00024,0.00399,0.00409,38.55
96,99396980046,-0.32456,0.20007,-9.60545,-0.00237,0.00612,-0.00230,38.55
97,99397855282,-0.23392,0.22402,-9.61979,-0.00343,0.00612,-0.00550,38.56
98,99398730518,-0.02402,0.51613,-9.68196,0.00083,0.00612,-0.00337,38.56
99,99399605754,0.18588,0.70768,-9.68674,0.00189,0.00186,0.00196,38.55
100,99400486924,0.04277,0.52092,-9.61979,0.00402,-0.00134,0.00516,38.55
101,99401368085,-0.25300,0.24317,-9.60545,0.00402,0.00399,0.00622,38.55
102,99402249246,-0.28162,0.12824,-9.62457,0.00189,0.00079,0.00090,38.55
103,99403130407,-0.15759,0.26711,-9.68196,-0.00024,0.00186,-0.00230,38.55
104,99404011568,0.08093,0.60233,-9.75368,-0.00343,0.00292,0.00090,38.55
105,99404892729,0.19065,0.64064,-9.71543,0.00083,0.00186,0.00303,38.55
106,99405773890,-0.05741,0.40120,-9.63414,0.00083,-0.00027,0.00516,38.55
107,99406655051,-0.27208,0.20965,-9.59588,-0.00237,-0.00347,0.00303,38.55
108,99407536212,-0.23392,0.18092,-9.59588,-0.00663,-0.00134,-0.00443,38.55
109,99408417373,-0.06218,0.46345,-9.65326,-0.00557,0.00292,-0.00656,38.55
110,99409292158,0.17634,0.70289,-9.70108,-0.00343,0.00505,-0.00443,38.55
111,99410166941,0.10955,0.56402,-9.64848,0.00402,0.00186,0.00090,38.55
112,99411041724,-0.20530,0.28627,-9.60067,0.00615,-0.00134,0.00196,38.55
113,99411916507,-0.31979,0.13782,-9.58632,0.00828,0.00079,-0.00337,38.55
114,99412791290,-0.19576,0.20007,-9.63414,0.00402,0.00719,-0.00763,38.55
115,99413666073,0.04277,0.53050,-9.72977,0.00189,0.00719,-0.00230,38.55
116,99414540856,0.18588,0.64542,-9.74890,0.00402,0.00399,0.00303,38.55
117,99415415639,-0.02402,0.42035,-9.68196,0.00509,0.00186,0.00409,38.55
118,99416290422,-0.30548,0.18092,-9.63414,0.00402,0.00612,0.00090,38.55
119,99417165205,-0.31025,0.11866,-9.63414,-0.00130,0.00505,-0.00230,38.55
120,99418039685,-0.11466,0.33416,-9.67717,-0.00557,0.00825,-0.00337,38.55
121,99418914157,0.15249,0.62627,-9.73934,-0.00130,0.00292,-0.00230,38.55
122,99419788629,0.17157,0.58796,-9.74412,0.00189,0.00186,0.00090,38.55
123,99420663101,-0.12420,0.31979,-9.69152,0.00402,0.00292,0.00196,38.55
124,99421537573,-0.30548,0.14740,-9.64848,-0.00024,0.00719,-0.00017,38.55
125,99422412045,-0.22915,0.19049,-9.64848,-0.00450,0.00719,-0.00230,38.55
126,99423286517,-0.00017,0.50655,-9.71065,-0.00557,0.00719,-0.00550,38.55
127,99424160989,0.18588,0.66937,-9.71065,-0.00237,0.00292,-0.00230,38.56
128,99425035461,0.02369,0.48261,-9.61501,0.00509,0.00505,-0.00017,38.55
129,99425909933,-0.24823,0.24317,-9.58632,0.00509,0.00399,0.00090,38.55
130,99426784947,-0.28162,0.11866,-9.62457,0.00083,0.00186,-0.00230,38.55
131,99427659956,-0.12420,0.24796,-9.70108,-0.00024,0.00399,-0.00656,38.55
132,99428534965,0.13341,0.55923,-9.76803,-0.00237,0.00612,-0.00337,38.55
133,99429409974,0.18111,0.56881,-9.72499,-0.00024,0.00186,0.00196,38.55
134,99430284983,-0.09081,0.32937,-9.63414,0.00189,0.00186,0.00622,38.55
135,99431159992,-0.30548,0.16176,-9.58154,-0.00130,0.00079,0.00409,38.55
136,99432035001,-0.25777,0.15219,-9.60545,-0.00663,0.00186,-0.00337,38.55
137,99432910010,-0.03833,0.42035,-9.70587,-0.00343,0.00399,-0.00337,38.55
138,99433785019,0.20496,0.65500,-9.77281,0.00402,-0.00347,-0.00017,38.55
139,99434660028,0.10478,0.53050,-9.69630,0.00402,-0.00666,0.00303,38.55
140,99435535115,-0.21961,0.26233,-9.63414,0.00615,0.00186,0.00090,38.55
141,99436410199,-0.30071,0.12824,-9.63892,0.00509,0.00505,-0.00337,38.55
142,99437285283,-0.16713,0.22880,-9.67239,-0.00024,0.00505,-0.00443,38.55
143,99438160367,0.06185,0.54965,-9.73456,-0.00024,0.00292,-0.00550,38.55
144,99439035451,0.17634,0.62627,-9.74890,0.00722,0.00186,-0.00123,38.55
145,99439910535,-0.03833,0.40120,-9.69630,0.00828,-0.00027,0.00090,38.55
146,99440785619,-0.28640,0.19049,-9.65805,0.00402,-0.00027,-0.00230,38.55
147,99441660703,-0.29117,0.12345,-9.64848,-0.00130,-0.00027,-0.00550,38.55
148,99442535787,-0.11943,0.34373,-9.68196,-0.00237,0.00079,-0.00656,38.55
149,99443410871,0.14772,0.64542,-9.71543,-0.00024,0.00079,-0.00443,38.55
150,99444285511,0.14295,0.60233,-9.69152,0.00189,-0.01092,-0.00017,38.55
151,99445160144,-0.16713,0.33416,-9.64848,0.00296,-0.00560,-0.00017,38.55
152,99446034777,-0.31979,0.16176,-9.61023,0.00083,-0.00027,-0.00337,38.55
153,99446909410,-0.22438,0.18571,-9.61501,-0.00343,0.00399,-0.00443,38.55
154,99447784043,-0.00494,0.49697,-9.66761,-0.00450,0.00399,-0.00230,38.55
155,99448658676,0.17634,0.65021,-9.67717,0.00189,0.00505,0.00303,38.55
156,99449533309,0.01414,0.46345,-9.61979,0.00615,0.00186,0.00409,38.56
157,99450407942,-0.27208,0.21923,-9.60067,0.00083,-0.00134,0.00303,38.56
