i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
1227,100387087399,-0.24823,0.26233,-9.64848,0.00296,-0.00134,0.00090,38.62
1228,100387961921,-0.27685,0.16176,-9.66761,0.00083,0.00399,-0.00443,38.61
1229,100388836443,-0.13851,0.30542,-9.70587,0.00083,0.00719,-0.00550,38.62
1230,100389714242,0.10955,0.59275,-9.74890,0.00402,0.00292,-0.00337,38.62
1231,100390592032,0.18588,0.60233,-9.71543,0.00935,-0.00027,0.00516,38.62
1232,100391469822,-0.09081,0.34852,-9.62936,0.00828,-0.00027,0.00622,38.62
1233,100392347612,-0.31025,0.15697,-9.61023,0.00828,0.00292,0.00196,38.61
1234,100393225402,-0.27208,0.14740,-9.66283,0.00615,0.00505,-0.00550,38.61
1235,100394103192,-0.08126,0.44430,-9.76325,0.00083,0.00719,-0.00656,38.61
1236,100394980982,0.17634,0.65979,-9.80150,0.00189,0.00292,-0.00230,38.61
1237,100395858772,0.09524,0.52092,-9.70587,0.00828,0.00399,0.00303,38.61
1238,100396736562,-0.21484,0.29106,-9.63892,0.00615,0.00719,0.00196,38.61
1239,100397614352,-0.27685,0.18092,-9.61501,0.00189,0.00505,-0.00337,38.61
1240,100398489154,-0.14328,0.28148,-9.65326,0.00189,0.00719,-0.00869,38.61
1241,100399363956,0.06662,0.61190,-9.74412,0.00296,0.00612,-0.00656,38.61
1242,100400238758,0.20496,0.67416,-9.74412,0.00828,0.00399,-0.00337,38.61
1243,100401113560,-0.00971,0.42514,-9.66283,0.00509,0.00505,-0.00017,38.61
1244,100401988362,-0.25777,0.21923,-9.63414,-0.00130,0.00292,-0.00337,38.61
1245,100402863164,-0.23392,0.13782,-9.61979,-0.00450,0.00825,-0.00443,38.61
1246,100403737966,-0.03833,0.33895,-9.65805,-0.00343,0.01038,-0.00550,38.61
1247,100404612768,0.21927,0.62627,-9.72021,0.00083,-0.00027,0.00090,38.61
1248,100405487570,0.18111,0.59275,-9.69630,0.00083,-0.00773,0.00516,38.61
1249,100406362372,-0.13851,0.33895,-9.65326,0.00189,-0.00773,0.00622,38.61
1250,100407237543,-0.28640,0.15697,-9.62457,0.00083,0.00186,0.00090,38.61
1251,100408112713,-0.18622,0.19528,-9.64370,-0.00237,0.00399,-0.00337,38.61
1252,100408987883,0.02369,0.48740,-9.70108,-0.00343,0.00292,-0.00337,38.61
1253,100409863053,0.19065,0.64542,-9.71065,-0.00024,-0.00134,0.00090,38.61
1254,100410738223,0.00937,0.46824,-9.67239,0.00509,-0.00240,0.00090,38.61
1255,100411613393,-0.28162,0.20486,-9.64848,0.00509,0.00719,-0.00230,38.61
1256,100412488563,-0.30071,0.11866,-9.62936,0.00083,0.00825,-0.00337,38.61
1257,100413363733,-0.12420,0.30542,-9.68196,-0.00024,0.00505,-0.00337,38.61
1258,100414238903,0.13341,0.61190,-9.76803,0.00296,-0.00134,-0.00230,38.61
1259,100415114073,0.17634,0.62148,-9.72499,0.00828,-0.00666,0.00196,38.61
1260,100415989196,-0.10035,0.36289,-9.62457,0.00722,-0.00453,0.00303,38.61
1261,100416864313,-0.27685,0.16655,-9.58154,0.00402,-0.00027,0.00090,38.61
1262,100417739430,-0.22915,0.14261,-9.60067,0.00083,0.00505,-0.00443,38.61
1263,100418614547,-0.02402,0.40599,-9.69152,-0.00130,0.00505,-0.00656,38.61
1264,100419489664,0.21450,0.63585,-9.75846,0.00296,0.00079,-0.00017,38.61
1265,100420364781,0.10478,0.50655,-9.69630,0.00402,0.00079,0.00196,38.61
1266,100421239898,-0.19099,0.26711,-9.63414,0.00509,0.00292,-0.00017,38.61
1267,100422115015,-0.26254,0.15697,-9.60545,0.00402,0.00079,-0.00550,38.61
1268,100422990132,-0.15759,0.26711,-9.64370,-0.00024,0.00292,-0.00763,38.61
1269,100423865249,0.05708,0.60233,-9.71065,-0.00130,0.00292,-0.00230,38.61
1270,100424740255,0.17157,0.66458,-9.70587,0.00402,-0.00453,0.00303,38.61
1271,100425615256,-0.03833,0.41557,-9.67717,0.00509,-0.00347,0.00622,38.61
1272,100426490257,-0.26254,0.21923,-9.65326,0.00402,0.00079,0.00196,38.61
1273,100427365258,-0.23869,0.14740,-9.65326,-0.00024,0.00079,-0.00337,38.61
1274,100428240259,-0.06218,0.38204,-9.69152,-0.00450,0.00292,-0.00656,38.62
1275,100429115260,0.19542,0.67895,-9.73456,0.00296,0.00719,-0.00123,38.61
1276,100429990261,0.16203,0.58796,-9.72499,0.00615,0.00292,0.00196,38.61
1277,100430865262,-0.15282,0.31500,-9.66761,0.00402,0.00186,0.00622,38.61
1278,100431740263,-0.28640,0.15697,-9.61979,0.00402,0.00292,0.00196,38.61
1279,100432615264,-0.19576,0.21923,-9.63414,-0.00130,0.00932,-0.00017,38.61
1280,100433489750,0.00460,0.55923,-9.71543,-0.00024,0.01145,-0.00230,38.61
1281,100434364229,0.19542,0.71726,-9.75846,0.00615,0.00612,0.00196,38.61
1282,100435238708,0.02846,0.54486,-9.68196,0.00828,0.01358,0.00196,38.61
1283,100436113187,-0.25777,0.29106,-9.60545,0.00722,0.01464,0.00196,38.61
1284,100436987666,-0.26731,0.15219,-9.59588,0.00615,0.01251,-0.00123,38.61
1285,100437862145,-0.12420,0.31500,-9.65326,0.00189,0.00825,-0.00443,38.61
1286,100438736624,0.11432,0.62627,-9.70108,-0.00024,0.00399,-0.00230,38.61
1287,100439611103,0.17634,0.62627,-9.69152,-0.00237,0.00079,0.00303,38.61
1288,100440485582,-0.10035,0.36289,-9.65326,0.00083,-0.00134,0.00516,38.61
1289,100441360061,-0.31502,0.17613,-9.62457,-0.00237,0.00079,-0.00017,38.61
1290,100442238692,-0.23869,0.18571,-9.61979,-0.00557,0.00186,-0.00337,38.61
1291,100443117316,-0.00971,0.48740,-9.70587,-0.00770,0.00612,-0.00656,38.61
1292,100443995940,0.22405,0.69810,-9.77759,-0.00343,0.00399,-0.00230,38.61
1293,100444874564,0.12387,0.53528,-9.71065,-0.00024,0.00079,0.00196,38.61
1294,100445753188,-0.19576,0.27190,-9.65326,0.00083,-0.00027,-0.00017,38.61
1295,100446631812,-0.30071,0.16176,-9.62936,-0.00343,-0.00240,-0.00230,38.61
1296,100447510436,-0.19576,0.26711,-9.65805,-0.00557,-0.00134,-0.00337,38.61
1297,100448389060,0.03800,0.57359,-9.72499,-0.00450,0.00292,-0.00017,38.61
1298,100449267684,0.14772,0.64542,-9.72021,0.00402,0.00292,0.00303,38.61
1299,100450146308,-0.08126,0.41557,-9.64370,0.00828,-0.00347,0.00729,38.61
1300,100451020933,-0.29594,0.20486,-9.61023,0.00722,-0.00134,0.00090,38.61
1301,100451895551,-0.27685,0.14261,-9.59110,0.00296,0.00186,-0.00337,38.61
1302,100452770169,-0.10035,0.36768,-9.65326,0.00189,0.01038,-0.00443,38.61
1303,100453644787,0.15249,0.65021,-9.70587,0.00402,0.00612,-0.00230,38.61
1304,100454519405,0.11432,0.57359,-9.66283,0.00615,-0.00027,0.00729,38.61
1305,100455394023,-0.18622,0.30064,-9.63414,0.00402,-0.00134,0.00729,38.61
1306,100456268641,-0.30071,0.13782,-9.62457,0.00189,0.00292,-0.00123,38.61
1307,100457143259,-0.18622,0.18092,-9.64370,-0.00024,0.00505,-0.00763,38.61
1308,100458017877,0.03323,0.49697,-9.69630,-0.00237,0.00612,-0.00337,38.61
1309,100458892495,0.20019,0.67895,-9.70587,0.00189,0.00292,-0.00123,38.61
1310,100459767120,0.00937,0.49697,-9.63414,0.00402,-0.00240,0.00090,38.61
1311,100460641739,-0.29594,0.26711,-9.59588,0.00189,-0.00134,-0.00123,38.61
1312,100461516358,-0.31502,0.18571,-9.61979,-0.00130,-0.00027,-0.00550,38.61
1313,100462390977,-0.15759,0.32937,-9.68674,-0.00450,0.00399,-0.00869,38.61
1314,100463265596,0.09524,0.62627,-9.75846,0.00189,0.00186,-0.00550,38.61
1315,100464140215,0.15249,0.61190,-9.72499,0.00509,-0.00134,0.00090,38.61
1316,100465014834,-0.12897,0.37247,-9.65805,0.00296,-0.00027,0.00516,38.61
1317,100465889453,-0.30071,0.22402,-9.63414,0.00083,0.00505,-0.00017,38.61
1318,100466764072,-0.25300,0.21444,-9.64370,-0.00557,0.00612,-0.00443,38.61
1319,100467638691,-0.09558,0.46824,-9.71065,-0.00557,0.00719,-0.00337,38.61
1320,100468513505,0.11910,0.65500,-9.75846,-0.00237,0.00079,0.00303,38.61
1321,100469388311,0.02369,0.48261,-9.69152,0.00189,-0.00453,0.00622,38.61
1322,100470263117,-0.27208,0.22880,-9.62936,0.00296,-0.00240,0.00516,38.61
1323,100471137923,-0.33887,0.13303,-9.61501,0.00083,0.00079,-0.00017,38.61
1324,100472012729,-0.19099,0.26233,-9.65326,-0.00343,0.00399,-0.00123,38.61
1325,100472887535,0.05708,0.60233,-9.71543,-0.00237,0.00719,-0.00230,38.61
1326,100473762341,0.17634,0.66937,-9.71543,0.00083,0.00825,0.00090,38.61
1327,100474637147,-0.07172,0.42035,-9.66761,0.00615,0.00292,-0.00017,38.62
1328,100475511953,-0.31979,0.18571,-9.63414,0.00615,0.00292,-0.00656,38.62
1329,100476386759,-0.29117,0.11388,-9.62936,0.00296,0.00612,-0.00869,38.62
1330,100477261582,-0.10989,0.33895,-9.70108,0.00189,0.00612,-0.00550,38.62
1331,100478136398,0.13818,0.61669,-9.75846,0.00509,0.00505,-0.00017,38.62
1332,100479011214,0.11910,0.56402,-9.70587,0.01041,0.00079,0.00303,38.62
1333,100479886030,-0.17190,0.33416,-9.65805,0.00828,0.00505,0.00090,38.62
1334,100480760846,-0.31025,0.18571,-9.63892,0.00402,0.00505,-0.00230,38.62
1335,100481635662,-0.22438,0.21444,-9.64848,0.00083,0.00719,-0.00763,38.62
1336,100482510478,0.00460,0.50655,-9.70108,0.00083,0.00932,-0.00763,38.62
1337,100483385294,0.20496,0.64064,-9.72021,0.00296,0.00399,-0.00123,38.62
1338,100484260110,0.02369,0.46345,-9.66283,0.00296,0.00505,0.00196,38.61
1339,100485134926,-0.28162,0.22880,-9.63414,-0.00024,0.00399,-0.00017,38.61
1340,100486013935,-0.28640,0.13303,-9.64848,-0.00450,0.00399,-0.00443,38.61
1341,100486892944,-0.10989,0.31021,-9.69630,-0.00557,0.00612,-0.00443,38.61
1342,100487771953,0.15249,0.60712,-9.74412,-0.00343,0.00612,-0.00337,38.61
1343,100488650962,0.20973,0.58796,-9.69630,0.00189,0.00292,-0.00017,38.62
1344,100489529971,-0.09081,0.33416,-9.60545,0.00296,0.00186,0.00196,38.62
1345,100490408980,-0.31502,0.14740,-9.57197,0.00509,0.00399,-0.00337,38.62
1346,100491287989,-0.24346,0.13303,-9.59110,-0.00024,0.00505,-0.00230,38.62
1347,100492166998,-0.02879,0.42993,-9.66283,-0.00130,0.00932,-0.00443,38.62
1348,100493046007,0.19065,0.65979,-9.72977,-0.00024,0.00186,-0.00017,38.62
1349,100493925016,0.07139,0.50655,-9.66761,0.00402,-0.00347,0.00303,38.62
1350,100494800887,-0.24346,0.25754,-9.62457,0.00296,-0.00134,0.00196,38.61
1351,100495676754,-0.31979,0.12345,-9.62936,-0.00024,0.00399,-0.00337,38.61
1352,100496552621,-0.19099,0.22402,-9.65805,-0.00450,0.00612,-0.00550,38.61
1353,100497428488,0.03800,0.55923,-9.71065,-0.00130,0.00719,-0.00230,38.61
1354,100498304355,0.15726,0.63106,-9.72499,-0.00024,0.00399,0.00409,38.61
1355,100499180222,-0.05264,0.40120,-9.70108,0.00402,-0.00027,0.00409,38.61
1356,100500056089,-0.27208,0.20486,-9.66283,-0.00130,-0.00240,0.00090,38.61
1357,100500931956,-0.23869,0.15219,-9.62457,-0.00024,0.00292,-0.00337,38.61
1358,100501807823,-0.06695,0.38683,-9.67239,-0.00237,0.00505,-0.00656,38.60
1359,100502683690,0.15726,0.66937,-9.73456,-0.00237,0.00186,-0.00123,38.61
1360,100503558626,0.12864,0.57838,-9.68674,0.00083,-0.00560,0.00303,38.61
1361,100504433553,-0.18144,0.29106,-9.63892,-0.00024,-0.00240,0.00516,38.61
1362,100505308480,-0.32456,0.16176,-9.60545,0.00296,0.00079,0.00196,38.61
1363,100506183407,-0.25300,0.22880,-9.63414,-0.00024,0.00292,-0.00123,38.61
1364,100507058334,-0.01925,0.52092,-9.72499,-0.00130,0.00612,-0.00230,38.61
1365,100507933261,0.20973,0.63585,-9.75846,0.00189,-0.00134,0.00516,38.61
1366,100508808188,0.04277,0.42035,-9.68674,0.00296,-0.00666,0.00942,38.61
1367,100509683115,-0.26731,0.19049,-9.60067,0.00189,-0.00347,0.00622,38.61
1368,100510558042,-0.28640,0.08993,-9.58632,-0.00024,0.00399,-0.00017,38.61
1369,100511432969,-0.11466,0.26711,-9.66761,-0.00237,0.00292,-0.00443,38.61
1370,100512308569,0.13818,0.60233,-9.73934,0.00189,0.00505,-0.00337,38.61
1371,100513184161,0.17634,0.61190,-9.71065,0.00402,0.00186,0.00196,38.61
1372,100514059753,-0.10989,0.36768,-9.64848,0.00615,0.00186,0.00409,38.61
1373,100514935345,-0.28640,0.17134,-9.61979,0.00509,0.00612,0.00196,38.61
1374,100515810937,-0.24823,0.15219,-9.64370,0.00296,0.01038,-0.00550,38.60
1375,100516686529,-0.06695,0.46824,-9.72499,0.00189,0.00932,-0.00550,38.61
1376,100517562121,0.15726,0.69331,-9.77281,0.00615,0.00399,-0.00123,38.60
1377,100518437713,0.05231,0.54486,-9.69630,0.00722,0.00079,0.00196,38.60
1378,100519313305,-0.23392,0.29106,-9.64848,0.00935,0.00505,0.00090,38.60
1379,100520188897,-0.29594,0.16655,-9.64370,0.00402,0.00612,-0.00230,38.61
1380,100521063865,-0.16236,0.27669,-9.67717,0.00189,0.00825,-0.00550,38.61
1381,100521938830,0.09047,0.59275,-9.71543,0.00296,0.00932,-0.00443,38.61
1382,100522813795,0.21450,0.63585,-9.70108,0.00189,0.01251,-0.00017,38.62
1383,100523688760,-0.04310,0.40120,-9.62457,0.00402,0.01251,0.00516,38.62
1384,100524563725,-0.31502,0.23359,-9.60067,-0.00237,0.00932,0.00409,38.62
1385,100525438690,-0.27208,0.19049,-9.61023,-0.00876,0.00612,-0.00123,38.62
1386,100526313655,-0.05741,0.39641,-9.66761,-0.00770,0.00399,-0.00337,38.62
1387,100527188620,0.17634,0.65021,-9.74412,-0.00450,0.00399,0.00303,38.62
1388,100528063585,0.13341,0.56402,-9.72021,-0.00130,-0.00347,0.00729,38.62
1389,100528938550,-0.17190,0.28627,-9.68196,-0.00130,-0.00879,0.00409,38.62
1390,100529813229,-0.30071,0.15697,-9.66761,-0.00237,-0.00134,-0.00123,38.62
1391,100530687900,-0.19099,0.22880,-9.67239,-0.00343,0.00079,-0.00656,38.61
1392,100531562571,0.05231,0.55444,-9.71065,-0.00024,0.00292,-0.00550,38.61
1393,100532437242,0.22405,0.69331,-9.72977,-0.00024,-0.00240,0.00196,38.62
1394,100533311913,0.02369,0.47782,-9.67239,0.00615,-0.00240,0.00303,38.62
1395,100534186584,-0.28640,0.22402,-9.61979,0.00189,0.00186,-0.00017,38.62
1396,100535061255,-0.32456,0.12345,-9.60067,0.00083,0.00719,-0.00230,38.62
1397,100535935926,-0.17667,0.30064,-9.64370,0.00189,0.01145,-0.00550,38.62
1398,100536810597,0.06185,0.63106,-9.69630,0.00402,0.00932,-0.00123,38.61
1399,100537685268,0.11432,0.63106,-9.66283,0.00828,0.00505,0.00090,38.61
1400,100538560033,-0.17190,0.35331,-9.59110,0.00615,0.00292,0.00090,38.61
1401,100539434789,-0.34841,0.17134,-9.56719,0.00402,0.00505,-0.00230,38.61
1402,100540309545,-0.23392,0.17134,-9.59110,-0.00237,0.00505,-0.00337,38.61
1403,100541184301,-0.01925,0.46345,-9.68674,-0.00450,0.00399,-0.00763,38.61
1404,100542059057,0.20019,0.68373,-9.75368,-0.00024,0.00079,-0.00230,38.61
1405,100542933813,0.10001,0.53050,-9.68674,0.00083,-0.00240,0.00516,38.61
1406,100543808569,-0.21007,0.27190,-9.61501,0.00083,0.00186,0.00303,38.62
1407,100544683325,-0.27685,0.14261,-9.60067,0.00083,0.00399,-0.00337,38.62
1408,100545558081,-0.15282,0.25275,-9.66283,0.00189,0.00719,-0.00656,38.61
1409,100546432837,0.05231,0.57359,-9.72499,-0.00024,0.00505,-0.00443,38.61
1410,100547307562,0.18111,0.64542,-9.70587,0.00083,0.00292,-0.00017,38.61
1411,100548182281,-0.02879,0.40599,-9.66283,0.00083,0.00079,0.00409,38.62
1412,100549057000,-0.28162,0.17134,-9.64848,0.00402,0.00612,0.00196,38.61
1413,100549931719,-0.27208,0.11388,-9.63892,-0.00237,-0.00027,-0.00337,38.62
1414,100550806438,-0.10035,0.35810,-9.69152,-0.00450,0.00399,-0.00337,38.61
1415,100551681157,0.15726,0.64064,-9.74412,0.00189,0.00292,-0.00123,38.61
1416,100552555876,0.14772,0.56402,-9.71543,0.00189,-0.00134,0.00196,38.62
1417,100553430595,-0.17667,0.31500,-9.66761,0.00083,-0.00134,-0.00017,38.62
1418,100554305314,-0.31502,0.16655,-9.62936,-0.00130,0.00719,-0.00017,38.62
1419,100555180033,-0.20530,0.20486,-9.63892,-0.00130,0.00825,-0.00443,38.62
1420,100556064161,0.02369,0.51134,-9.70108,-0.00237,0.01145,-0.00550,38.62
1421,100556948288,0.22405,0.63585,-9.73934,-0.00130,0.00612,-0.00123,38.63
1422,100557832415,0.03800,0.44430,-9.65326,0.00402,0.00719,0.00090,38.63
1423,100558716542,-0.28162,0.23838,-9.58154,0.00402,0.00399,-0.00017,38.63
1424,100559600669,-0.33887,0.16655,-9.60067,0.00189,0.00399,-0.00443,38.63
1425,100560484796,-0.16236,0.33416,-9.66761,-0.00024,0.00399,-0.00869,38.63
1426,100561368923,0.13341,0.65021,-9.73456,-0.00130,0.00292,-0.00550,38.63
1427,100562253050,0.19065,0.64542,-9.72499,0.00296,-0.00027,0.00196,38.63
1428,100563137177,-0.07649,0.34852,-9.68196,0.00189,-0.00027,0.00303,38.63
1429,100564021304,-0.26254,0.13782,-9.65326,-0.00343,0.00186,-0.00017,38.63
1430,100564897668,-0.21484,0.13303,-9.63414,-0.00983,0.00505,-0.00443,38.62
1431,100565774027,-0.00971,0.42035,-9.66761,-0.00770,0.00612,-0.00443,38.62
1432,100566650386,0.22882,0.65500,-9.71543,-0.00024,0.00505,0.00196,38.62
1433,100567526745,0.11910,0.52092,-9.65805,0.00083,0.00186,0.00729,38.63
1434,100568403104,-0.21007,0.24317,-9.59588,0.00083,0.00186,0.00516,38.63
1435,100569279463,-0.29594,0.11866,-9.59588,-0.00130,0.00292,0.00196,38.63
1436,100570155822,-0.18622,0.23359,-9.66761,-0.00343,0.00186,-0.00230,38.62
1437,100571032181,0.06185,0.56881,-9.73934,-0.00130,-0.00240,-0.00017,38.62
1438,100571908540,0.20496,0.65021,-9.70587,0.00296,-0.00453,0.00409,38.62
1439,100572784899,-0.04310,0.41557,-9.63414,0.00402,-0.00134,0.00090,38.62
1440,100573659687,-0.31025,0.20486,-9.62457,0.00402,-0.00134,-0.00337,38.62
1441,100574534469,-0.27208,0.13782,-9.65326,-0.00024,0.00186,-0.00443,38.62
1442,100575409251,-0.07649,0.36768,-9.70108,-0.00237,0.00505,-0.00230,38.62
1443,100576284033,0.17157,0.65500,-9.74412,0.00402,0.00505,0.00090,38.62
1444,100577158815,0.15726,0.57359,-9.70587,0.00615,0.00399,0.00303,38.62
1445,100578033597,-0.15282,0.29106,-9.62457,0.00509,0.00612,0.00516,38.62
1446,100578908379,-0.30071,0.12824,-9.58154,-0.00024,0.00719,-0.00017,38.62
1447,100579783161,-0.21484,0.16176,-9.60545,-0.00130,0.00719,-0.00443,38.62
1448,100580657943,-0.00017,0.48261,-9.68674,0.00083,0.00825,-0.00230,38.62
1449,100581532725,0.19542,0.66458,-9.72021,0.00296,0.00612,0.00516,38.62
1450,100582407982,0.03323,0.48740,-9.65326,0.00615,0.00292,0.00516,38.62
1451,100583283233,-0.26731,0.24796,-9.61979,0.00296,0.00292,0.00409,38.62
1452,100584158484,-0.30071,0.15219,-9.63892,0.00189,0.00292,-0.00017,38.62
1453,100585033735,-0.15282,0.31979,-9.69630,-0.00130,0.00399,-0.00337,38.62
1454,100585908986,0.10478,0.62627,-9.73934,-0.00130,0.00079,-0.00017,38.62
1455,100586784237,0.17157,0.62148,-9.72021,0.00296,-0.00134,0.00409,38.62
1456,100587659488,-0.10512,0.34373,-9.65326,0.00296,-0.00027,0.00622,38.62
1457,100588534739,-0.29117,0.16655,-9.60545,0.00189,-0.00134,0.00409,38.62
1458,100589409990,-0.22915,0.17613,-9.61501,-0.00024,-0.00134,0.00196,38.62
1459,100590285241,-0.03356,0.45388,-9.67717,-0.00130,0.00399,0.00090,38.62
1460,100591159712,0.17634,0.67895,-9.71065,0.00189,0.00505,0.00516,38.62
1461,100592034179,0.07616,0.54007,-9.63414,0.00402,0.00399,0.00942,38.63
1462,100592908646,-0.19576,0.27190,-9.59110,0.00189,0.00292,0.00622,38.62
1463,100593783113,-0.25777,0.13303,-9.61979,-0.00024,0.00505,0.00196,38.62
1464,100594657580,-0.13374,0.23838,-9.67239,-0.00450,0.00505,-0.00123,38.63
1465,100595532047,0.10001,0.57838,-9.72021,-0.00237,0.00612,-0.00337,38.63
1466,100596406514,0.22405,0.64542,-9.72021,0.00402,0.00505,-0.00123,38.63
1467,100597280981,-0.01448,0.39162,-9.67717,0.00935,-0.00134,0.00303,38.63
1468,100598155448,-0.28640,0.17613,-9.65805,0.00722,0.00186,0.00196,38.63
1469,100599029915,-0.28640,0.12824,-9.65326,0.00296,0.00505,-0.00123,38.64
1470,100599904456,-0.10035,0.34852,-9.70108,-0.00130,0.00719,-0.00230,38.64
1471,100600778992,0.14772,0.65021,-9.72499,0.00402,0.00505,0.00303,38.63
1472,100601653528,0.11910,0.59754,-9.67239,0.00509,0.00079,0.00622,38.63
1473,100602528064,-0.18622,0.31500,-9.63892,0.00402,0.00399,0.00303,38.63
1474,100603402600,-0.33410,0.16176,-9.62936,0.00189,0.00719,0.00090,38.63
1475,100604277136,-0.23869,0.19049,-9.66761,-0.00343,0.00932,-0.00443,38.62
1476,100605151672,0.01414,0.50655,-9.73456,-0.00237,0.00825,-0.00443,38.62
1477,100606026208,0.20496,0.67416,-9.76803,-0.00024,0.00186,0.00090,38.63
1478,100606900744,0.00937,0.46824,-9.70108,0.00402,-0.00240,0.00516,38.63
1479,100607775280,-0.28640,0.23838,-9.65805,0.00189,-0.00134,0.00303,38.63
1480,100608649806,-0.31979,0.14261,-9.64848,-0.00024,-0.00027,-0.00337,38.63
1481,100609524326,-0.16236,0.30064,-9.67717,-0.00557,0.00505,-0.00550,38.63
1482,100610398846,0.09524,0.62627,-9.74890,-0.00237,0.00612,-0.00230,38.63
1483,100611273366,0.14772,0.62148,-9.74890,0.00402,0.00292,0.00516,38.63
1484,100612147886,-0.13374,0.36289,-9.65805,0.00402,0.00186,0.00516,38.63
1485,100613022406,-0.32933,0.20007,-9.59110,0.00402,0.00186,0.00196,38.62
1486,100613896926,-0.26731,0.20486,-9.61979,-0.00024,0.00505,-0.00656,38.62
1487,100614771446,-0.05264,0.47303,-9.72021,-0.00237,0.00505,-0.00550,38.62
1488,100615645966,0.21450,0.66458,-9.77759,-0.00024,-0.00027,0.00090,38.62
1489,100616520486,0.13341,0.51613,-9.69630,0.00402,-0.00347,0.00516,38.62
1490,100617395311,-0.18622,0.27190,-9.62936,0.00402,0.00292,0.00516,38.62
1491,100618270133,-0.27685,0.15219,-9.61979,0.00083,0.00292,0.00090,38.62
1492,100619144955,-0.16236,0.25754,-9.66761,-0.00130,0.00079,0.00090,38.62
1493,100620019777,0.08093,0.57838,-9.72499,-0.00237,0.00292,0.00090,38.62
1494,100620894599,0.20496,0.63585,-9.72499,0.00296,-0.00027,0.00303,38.62
1495,100621769421,-0.06695,0.39162,-9.66761,0.00083,-0.00240,0.00303,38.61
1496,100622644243,-0.31979,0.18571,-9.61979,-0.00237,0.00079,0.00303,38.61
1497,100623519065,-0.28162,0.13782,-9.60545,-0.00876,-0.00453,0.00090,38.61
1498,100624393887,-0.09558,0.36289,-9.66761,-0.00770,0.00079,-0.00017,38.61
1499,100625268709,0.16680,0.66937,-9.72977,-0.00557,-0.00134,-0.00017,38.61
1500,100626143474,0.14772,0.60712,-9.70108,0.00083,-0.00134,0.00409,38.61
1501,100627018233,-0.18144,0.33416,-9.65326,-0.00024,-0.00240,0.00409,38.62
1502,100627892992,-0.34841,0.18571,-9.62457,-0.00130,0.00186,-0.00017,38.62
1503,100628767751,-0.25300,0.21923,-9.63892,-0.00237,0.00505,-0.00230,38.62
1504,100629642510,0.00937,0.52571,-9.70108,-0.00130,0.00399,-0.00230,38.62
1505,100630517269,0.21927,0.67895,-9.70587,0.00189,0.00186,0.00303,38.62
1506,100631392028,0.03800,0.48261,-9.64848,0.00509,0.00186,0.00516,38.62
1507,100632266787,-0.27208,0.25275,-9.61979,0.00509,0.00505,0.00409,38.62
1508,100633141546,-0.28162,0.15697,-9.62457,0.00402,0.00932,0.00090,38.62
1509,100634016305,-0.12897,0.31021,-9.70587,-0.00024,0.00719,-0.00230,38.62
1510,100634891561,0.09524,0.63106,-9.78237,0.00296,0.01038,-0.00230,38.62
1511,100635766814,0.15249,0.64542,-9.73934,0.00935,0.00825,-0.00017,38.62
1512,100636642067,-0.12420,0.38683,-9.64848,0.00828,0.00399,0.00409,38.62
1513,100637517320,-0.31979,0.20486,-9.63414,0.00828,0.00505,-0.00017,38.62
1514,100638392573,-0.24823,0.19528,-9.66283,0.00083,0.00719,-0.00656,38.62
1515,100639267826,-0.03833,0.45866,-9.74412,-0.00237,0.00932,-0.00869,38.62
1516,100640143079,0.18111,0.66458,-9.78237,0.00083,0.00079,-0.00123,38.62
1517,100641018332,0.06662,0.51613,-9.68674,0.00296,0.00079,0.00090,38.62
1518,100641893585,-0.23869,0.26711,-9.64370,0.00296,0.00612,0.00090,38.62
1519,100642768838,-0.29117,0.16655,-9.64370,-0.00130,0.00292,-0.00443,38.62
1520,100643643696,-0.16236,0.29106,-9.66761,-0.00130,0.00079,-0.00550,38.62
1521,100644518553,0.06185,0.61669,-9.75368,-0.00130,0.00612,-0.00230,38.63
1522,100645393410,0.18111,0.67416,-9.77281,-0.00024,-0.00027,0.00196,38.62
1523,100646268267,-0.05264,0.42514,-9.69630,0.00189,-0.00240,0.00303,38.63
1524,100647143124,-0.29594,0.20007,-9.63892,-0.00343,-0.00027,0.00409,38.63
1525,100648017981,-0.28162,0.11866,-9.61501,-0.00557,0.00079,-0.00017,38.63
1526,100648892838,-0.10989,0.33895,-9.66761,-0.00770,-0.00027,-0.00017,38.63
1527,100649767695,0.14772,0.62627,-9.73934,-0.00450,-0.00240,0.00196,38.63
1528,100650642552,0.12387,0.56881,-9.70108,-0.00130,-0.00879,0.00622,38.63
1529,100651517409,-0.16713,0.32937,-9.63892,0.00083,-0.00560,0.00622,38.63
1530,100652392293,-0.29117,0.17613,-9.59588,0.00296,-0.00347,0.00196,38.63
1531,100653267175,-0.20530,0.21923,-9.60067,0.00189,-0.00134,-0.00230,38.63
1532,100654142057,0.00460,0.53050,-9.69630,-0.00024,0.00079,-0.00443,38.64
1533,100655016939,0.19065,0.67416,-9.72977,0.00083,-0.00027,0.00090,38.64
1534,100655891821,0.00937,0.47303,-9.66761,0.00722,0.00399,0.00090,38.64
1535,100656766703,-0.29117,0.22402,-9.62457,0.00296,0.00505,-0.00337,38.64
1536,100657641585,-0.31502,0.12345,-9.61023,-0.00130,0.00612,-0.00763,38.64
